"外部ID","アイテム：アイテム","zip"
"ORD-OT-20210831-012481","DhbZ007040 クレンジングバームローズ　空箱",9999
"ORD-OT-20210831-012481","DhbZ008040 クレンジングバームクリア　空箱",9999
"ORD-OT-20210831-012481","DhbZ009040 クレンジングバームホワイト　空箱",9999
"ORD-OT-20210831-012481","DhbZ076040 クレンジングバームバリア　空箱",9999
"ORD-OT-20210831-012481","DhbZ274040 デュオ クレンジングバーム ブラックリペア 空箱 (JAN無し)",9999
"ORD-OT-20210831-012481","DhbZ270040 クレンジングバーム 通常ボード W900×H450 (2021)",9999
"ORD-OT-20210831-012481","DhbZ171040 KinKiKids W900 バックボード 21SS バリアモーレ",9999
"ORD-OT-20210831-012482","DhbZ274040 デュオ クレンジングバーム ブラックリペア 空箱 (JAN無し)",9999
"ORD-OT-20210831-012483","DhbZ182040 クレンジングバームブラックリペア　フラット什器",9999
